//Format: //(Exclamation Point)(comma)GroupName(comma)Latitude(comma)Longitude(comma)Altitude(comma)redVal(comma)greenVal(comma)blueVal
@4000 Foot
!ADAMS,44.320556,-71.291389,5774,-1,-1,-1,
!BOND,44.153045,-71.531225,4698,-1,-1,-1,
!WEST BOND,44.153045,-71.531225,4540,-1,-1,-1,
!BONDCLIFF,44.153045,-71.531225,4265,-1,-1,-1,
!CABOT,44.505984,-71.414423,4170,-1,-1,-1,
!CANNON,44.156454,-71.698417,4100,-1,-1,-1,
!CARRIGAIN,44.093606,-71.446803,4700,-1,-1,-1,
!CARTER DOME,44.267288,-71.178963,4832,-1,-1,-1,
!MIDDLE CARTER,44.30312,-71.167296,4610,-1,-1,-1,
!SOUTH CARTER,44.289722,-71.176111,4430,-1,-1,-1,
!EISENHOWER,44.240667,-71.350333,4780,-1,-1,-1,
!FIELD,44.196177,-71.434522,4340,-1,-1,-1,
!FLUME,44.108955,-71.627859,4328,-1,-1,-1,
!GALEHEAD,44.185343,-71.573692,4024,-1,-1,-1,
!GARFIELD,44.187009,-71.610915,4500,-1,-1,-1,
!HALE,44.221731,-71.512024,4054,-1,-1,-1,
!!HANCOCK.44.083678,-71.493689,4420,-1,-1,-1,
!SOUTH HANCOCK,44.083678,-71.493689,4319,-1,-1,-1,
!ISOLATION,44.214789,-71.309241,4004,-1,-1,-1,
!JACKSON,44.194511,-71.388688,4052,-1,-1,-1,
!JEFFERSON,44.304444,-71.318056,5712,-1,-1,-1,
!NORTH KINSMAN,44.133167,-71.736833,4293,-1,-1,-1,
!SOUTH KINSMAN,44.123,-71.736668,4358,-1,-1,-1,
!LAFAYETTE,44.160705,-71.644361,5260,-1,-1,-1,
!LIBERTY,44.1158,-71.6421,4459,-1,-1,-1,
!LINCOLN,44.148954,-71.644527,5089,-1,-1,-1,
!MADISON,44.328333,-71.277778,5367,-1,-1,-1,
!MONROE,44.25556,-71.3225,5384,-1,-1,-1,
!MOOSILAUKE,44.024511,-71.830917,4802,-1,-1,-1,
!MORIAH,44.340278,-71.131389,4049,-1,-1,-1,
!OSCEOLA,44.001614,-71.535614,4340,-1,-1,-1,
!EAST OSCEOLA,44.006235,-71.520622,4156,-1,-1,-1,
!OWLS HEAD,44.144444,-71.605,4025,-1,-1,-1,
!PASSACONAWAY,43.954722,-71.381389,4043,-1,-1,-1,
!PIERCE,44.226,-71.366,4310,-1,-1,-1,
!TECUMSEH,43.967291,-71.558133,4003,-1,-1,-1,
!TOM,44.210343,-71.445911,4051,-1,-1,-1,
!MIDDLE TRIPYRAMID,43.964662,-71.440101,-1,-1,-1,
!NORTH TRIPYRAMID,43.973254,-71.442878,4140,4180,-1,-1,-1,
!NORTH TWIN,44.202333,-71.558333,4761,-1,-1,-1,
!SOUTH TWIN,44.1875,-71.555333,4902,-1,-1,-1,
!WASHINGTON,44.270489,-71.303246,6288,-1,-1,-1,
!WAUMBEK,44.432837,-71.417024,4006,-1,-1,-1,
!WHITEFACE,43.93396,-71.405907,4020,-1,-1,-1,
!WILDCAT A,44.258889,-71.201389,4422,-1,-1,-1,
!WILDCAT D,44.258889,-71.201389,4070,-1,-1,-1,
!WILLEY,44.183333,-71.416667,4285,-1,-1,-1,
!ZEALAND,44.179667,-71.521333,4260,-1,-1,-1,
!
@
